Type of Crosswalk;X;Y;Lat;Long;geopoint
Zebra Crossing;487815.0;5453564.0;49.2347334861;-123.167380572;49.2347334861,-123.167380572
Zebra Crossing;487604.0;5453774.0;49.2366182438;-123.170285476;49.2366182438,-123.170285476
Zebra Crossing;487403.0;5453776.0;49.2366321312;-123.173046689;49.2366321312,-123.173046689
Zebra Crossing;486304.0;5454418.0;49.2423834439;-123.188165657;49.2423834439,-123.188165657
Zebra Crossing;486998.0;5454624.0;49.2442515897;-123.178637712;49.2442515897,-123.178637712
Zebra Crossing;486111.0;5455274.0;49.2500789696;-123.19084689;49.2500789696,-123.19084689
Zebra Crossing;487324.0;5456125.0;49.2577601965;-123.17420624;49.2577601965,-123.17420624
Zebra Crossing;489900.0;5456041.0;49.2570525563;-123.138802282;49.2570525563,-123.138802282
Zebra Crossing;489843.0;5453729.0;49.236254702;-123.139527006;49.236254702,-123.139527006
Zebra Crossing;489048.0;5453949.0;49.2382199428;-123.150453917;49.2382199428,-123.150453917
Zebra Crossing;488672.0;5453437.0;49.2336075507;-123.155604757;49.2336075507,-123.155604757
Zebra Crossing;488934.0;5453111.0;49.2306799002;-123.151996864;49.2306799002,-123.151996864
Zebra Crossing;489099.0;5451865.0;49.2194747993;-123.149696656;49.2194747993,-123.149696656
Zebra Crossing;489197.0;5451578.0;49.2168949002;-123.148343161;49.2168949002,-123.148343161
Zebra Crossing;490986.0;5451950.0;49.2202700705;-123.123785638;49.2202700705,-123.123785638
Zebra Crossing;490817.0;5451713.0;49.2181356856;-123.126101017;49.2181356856,-123.126101017
Zebra Crossing;490813.0;5451828.0;49.2191700796;-123.126158578;49.2191700796,-123.126158578
Zebra Crossing;491136.0;5452727.0;49.2272615655;-123.121742922;49.2272615655,-123.121742922
Zebra Crossing;491308.0;5453437.0;49.2336506486;-123.119395977;49.2336506486,-123.119395977
Zebra Crossing;491120.0;5456038.0;49.2570444967;-123.122036042;49.2570444967,-123.122036042
Zebra Crossing;490519.0;5456041.0;49.257062463;-123.130295513;49.257062463,-123.130295513
Zebra Crossing;491445.0;5456503.0;49.2612318922;-123.117579579;49.2612318922,-123.117579579
Zebra Crossing;491134.0;5456629.0;49.2623608568;-123.121856731;49.2623608568,-123.121856731
Zebra Crossing;490962.0;5456634.0;49.2624033152;-123.124220853;49.2624033152,-123.124220853
Zebra Crossing;490969.0;5456936.0;49.2651199637;-123.124131458;49.2651199637,-123.124131458
Zebra Crossing;490795.0;5456940.0;49.2651533502;-123.126523181;49.2651533502,-123.126523181
Zebra Crossing;492233.0;5456888.0;49.264705554;-123.10675683;49.264705554,-123.10675683
Zebra Crossing;493285.0;5456060.0;49.2572699871;-123.092283301;49.2572699871,-123.092283301
Zebra Crossing;492482.0;5455769.0;49.2546430421;-123.103313336;49.2546430421,-123.103313336
Zebra Crossing;492807.0;5454191.0;49.2404524996;-123.098818819;49.2404524996,-123.098818819
Zebra Crossing;492604.0;5453633.0;49.2354307422;-123.101597371;49.2354307422,-123.101597371
Zebra Crossing;492262.0;5451564.0;49.2168153492;-123.106255433;49.2168153492,-123.106255433
Zebra Crossing;494380.0;5450869.0;49.2105867257;-123.077162121;49.2105867257,-123.077162121
Zebra Crossing;495203.0;5451948.0;49.2202996212;-123.065875306;49.2202996212,-123.065875306
Zebra Crossing;493737.0;5454171.0;49.2402828172;-123.086042003;49.2402828172,-123.086042003
Zebra Crossing;496018.0;5452667.0;49.2267730552;-123.054690376;49.2267730552,-123.054690376
Zebra Crossing;498034.0;5450917.0;49.2110411185;-123.026993259;49.2110411185,-123.026993259
Zebra Crossing;497835.0;5451162.0;49.213244292;-123.029726858;49.213244292,-123.029726858
Zebra Crossing;498137.0;5451301.0;49.2144956287;-123.025580847;49.2144956287,-123.025580847
Zebra Crossing;496986.0;5451710.0;49.2181701151;-123.041388292;49.2181701151,-123.041388292
Zebra Crossing;496990.0;5451820.0;49.2191596147;-123.04133419;49.2191596147,-123.04133419
Zebra Crossing;498063.0;5452088.0;49.2215746799;-123.02660074;49.2215746799,-123.02660074
Zebra Crossing;497775.0;5452942.0;49.2292556554;-123.030560568;49.2292556554,-123.030560568
Zebra Crossing;497951.0;5453750.0;49.2365244322;-123.028147322;49.2365244322,-123.028147322
Zebra Crossing;495423.0;5454116.0;49.2398030084;-123.06287888;49.2398030084,-123.06287888
Zebra Crossing;496054.0;5454014.0;49.2388898871;-123.054209195;49.2388898871,-123.054209195
Zebra Crossing;496695.0;5454270.0;49.2411964644;-123.045405406;49.2411964644,-123.045405406
Zebra Crossing;498090.0;5455321.0;49.2506563944;-123.026245354;49.2506563944,-123.026245354
Zebra Crossing;496774.0;5455603.0;49.2531875231;-123.044330806;49.2531875231,-123.044330806
Zebra Crossing;496973.0;5455694.0;49.2540071048;-123.041596892;49.2540071048,-123.041596892
Zebra Crossing;494916.0;5456011.0;49.256844951;-123.069868096;49.256844951,-123.069868096
Zebra Crossing;498193.0;5456372.0;49.260110679;-123.024834771;49.260110679,-123.024834771
Zebra Crossing;498164.0;5457515.0;49.2703921065;-123.02523858;49.2703921065,-123.02523858
Zebra Crossing;497942.0;5459467.0;49.2879499875;-123.028300348;49.2879499875,-123.028300348
Zebra Crossing;497053.0;5459560.0;49.288782897;-123.040526012;49.288782897,-123.040526012
Zebra Crossing;495210.0;5457023.0;49.2659504673;-123.065839842;49.2659504673,-123.065839842
Zebra Crossing;495644.0;5457803.0;49.2729699606;-123.05988289;49.2729699606,-123.05988289
Zebra Crossing;495642.0;5457702.0;49.2720614326;-123.059909284;49.2720614326,-123.059909284
Zebra Crossing;493049.0;5457180.0;49.2673419674;-123.09554606;49.2673419674,-123.09554606
Zebra Crossing;493951.0;5458497.0;49.2791982059;-123.083167406;49.2791982059,-123.083167406
Zebra Crossing;493858.0;5458892.0;49.2827503693;-123.084452124;49.2827503693,-123.084452124
Zebra Crossing;493198.0;5458516.0;49.2793611987;-123.093520676;49.2793611987,-123.093520676
Zebra Crossing;492489.0;5458317.0;49.2775628599;-123.103264961;49.2775628599,-123.103264961
Zebra Crossing;492159.0;5458990.0;49.2836124597;-123.107815153;49.2836124597,-123.107815153
Zebra Crossing;488823.0;5461610.0;49.3071277747;-123.153758892;49.3071277747,-123.153758892
Zebra Crossing;489460.0;5462190.0;49.312356261;-123.145011202;49.312356261,-123.145011202
Zebra Crossing;489981.0;5461969.0;49.310377115;-123.137837667;49.310377115,-123.137837667
Zebra Crossing;490136.0;5460941.0;49.301132663;-123.135679848;49.301132663,-123.135679848
Zebra Crossing;491192.0;5460787.0;49.2997635545;-123.121151152;49.2997635545,-123.121151152
Zebra Crossing;489360.0;5460400.0;49.2962532785;-123.146339326;49.2962532785,-123.146339326
Zebra Crossing;489220.0;5459964.0;49.2923289493;-123.148253074;49.2923289493,-123.148253074
Zebra Crossing;489688.0;5460020.0;49.2928407546;-123.141818321;49.2928407546,-123.141818321
Zebra Crossing;489539.0;5459975.0;49.2924334408;-123.143866296;49.2924334408,-123.143866296
Zebra Crossing;489485.0;5459923.0;49.2919647671;-123.144607567;49.2919647671,-123.144607567
Zebra Crossing;489409.0;5459848.0;49.2912888196;-123.145650766;49.2912888196,-123.145650766
Zebra Crossing;489377.0;5459818.0;49.2910184102;-123.146090042;49.2910184102,-123.146090042
Zebra Crossing;490379.0;5459989.0;49.2925731774;-123.132314455;49.2925731774,-123.132314455
Zebra Crossing;490111.0;5459598.0;49.2890518004;-123.135990485;49.2890518004,-123.135990485
Zebra Crossing;490034.0;5459520.0;49.2883489286;-123.137047418;49.2883489286,-123.137047418
Zebra Crossing;490087.0;5459002.0;49.2836903065;-123.136305746;49.2836903065,-123.136305746
Zebra Crossing;490421.0;5457875.0;49.2735580914;-123.131686198;49.2735580914,-123.131686198
Zebra Crossing;490192.0;5457049.0;49.266124451;-123.134814093;49.266124451,-123.134814093
Zebra Crossing;490120.0;5457068.0;49.2662942003;-123.135804222;49.2662942003,-123.135804222
Zebra Crossing;490109.0;5457163.0;49.267148564;-123.135957769;49.267148564,-123.135957769
Zebra Crossing;490004.0;5457346.0;49.268792973;-123.137405624;49.268792973,-123.137405624
Zebra Crossing;489607.0;5457255.0;49.267967794;-123.142860429;49.267967794,-123.142860429
Zebra Crossing;488697.0;5456694.0;49.2629053617;-123.155353246;49.2629053617,-123.155353246
Zebra Crossing;484326.0;5456202.0;49.2583833525;-123.215410486;49.2583833525,-123.215410486
Zebra Crossing;485283.0;5457503.0;49.2701098111;-123.202306195;49.2701098111,-123.202306195
