Type of Crosswalk;X;Y;Lat;Long;geopoint
Zebra Crossing;495204.0;5456510.0;49.2613358839;-123.065916167;49.2613358839,-123.065916167
Zebra Crossing;494147.0;5456836.0;49.2642591165;-123.080448315;49.2642591165,-123.080448315
Zebra Crossing;497717.0;5458715.0;49.2811848209;-123.031390115;49.2811848209,-123.031390115
Zebra Crossing;497829.0;5459329.0;49.2867082637;-123.029853505;49.2867082637,-123.029853505
Zebra Crossing;496413.0;5459116.0;49.2847856225;-123.049323059;49.2847856225,-123.049323059
Zebra Crossing;496211.0;5457418.0;49.2695105899;-123.052084574;49.2695105899,-123.052084574
Zebra Crossing;495214.0;5457224.0;49.2677585324;-123.065787265;49.2677585324,-123.065787265
Zebra Crossing;494707.0;5458218.0;49.2766955661;-123.072769516;49.2766955661,-123.072769516
Zebra Crossing;493694.0;5458817.0;49.282074062;-123.086705929;49.282074062,-123.086705929
Zebra Crossing;492827.0;5458839.0;49.2822623955;-123.09862734;49.2822623955,-123.09862734
Zebra Crossing;492940.0;5458424.0;49.2785307179;-123.097066288;49.2785307179,-123.097066288
Zebra Crossing;493092.0;5457918.0;49.2739808978;-123.094967739;49.2739808978,-123.094967739
Zebra Crossing;492826.0;5457867.0;49.2735190804;-123.098623655;49.2735190804,-123.098623655
Zebra Crossing;491616.0;5457843.0;49.2732878009;-123.11525744;49.2732878009,-123.11525744
Zebra Crossing;492398.0;5458556.0;49.2797115795;-123.104520615;49.2797115795,-123.104520615
Zebra Crossing;490856.0;5459578.0;49.2888835001;-123.125745044;49.2888835001,-123.125745044
Zebra Crossing;490733.0;5459825.0;49.2911034467;-123.127442219;49.2911034467,-123.127442219
Zebra Crossing;488568.0;5460901.0;49.3007455236;-123.157246548;49.3007455236,-123.157246548
Zebra Crossing;488643.0;5460991.0;49.3015564827;-123.15621749;49.3015564827,-123.15621749
Zebra Crossing;488847.0;5461161.0;49.3030894107;-123.153416193;49.3030894107,-123.153416193
Zebra Crossing;489720.0;5461753.0;49.308429834;-123.141422835;49.308429834,-123.141422835
Zebra Crossing;489881.0;5462043.0;49.3110411036;-123.139215301;49.3110411036,-123.139215301
Zebra Crossing;490050.0;5461509.0;49.3062404936;-123.13687693;49.3062404936,-123.13687693
Zebra Crossing;490489.0;5460579.0;49.2978820268;-123.130815709;49.2978820268,-123.130815709
Zebra Crossing;490130.0;5460746.0;49.2993785174;-123.13575756;49.2993785174,-123.13575756
Zebra Crossing;490127.0;5460662.0;49.2986228786;-123.135796748;49.2986228786,-123.135796748
Zebra Crossing;490114.0;5460536.0;49.2974892827;-123.135972436;49.2974892827,-123.135972436
Zebra Crossing;489238.0;5460140.0;49.2939124091;-123.148010268;49.2939124091,-123.148010268
Zebra Crossing;490107.0;5460399.0;49.2962568371;-123.136065321;49.2962568371,-123.136065321
Zebra Crossing;490343.0;5459832.0;49.2911603732;-123.132805756;49.2911603732,-123.132805756
Zebra Crossing;490688.0;5459180.0;49.2853008955;-123.128046043;49.2853008955,-123.128046043
Zebra Crossing;489935.0;5458650.0;49.28052153;-123.13838691;49.28052153,-123.13838691
Zebra Crossing;490825.0;5457716.0;49.272134056;-123.126128623;49.272134056,-123.126128623
Zebra Crossing;490372.0;5458254.0;49.2769664879;-123.132368941;49.2769664879,-123.132368941
Zebra Crossing;490276.0;5457716.0;49.2721255712;-123.133675699;49.2721255712,-123.133675699
Zebra Crossing;490011.0;5457054.0;49.2661664972;-123.137302113;49.2661664972,-123.137302113
Zebra Crossing;489755.0;5457350.0;49.2688248326;-123.140828485;49.2688248326,-123.140828485
Zebra Crossing;488857.0;5456173.0;49.2582218108;-123.153139645;49.2582218108,-123.153139645
Zebra Crossing;489220.0;5456680.0;49.262788871;-123.148164561;49.262788871,-123.148164561
Zebra Crossing;488876.0;5456898.0;49.2647436585;-123.152898673;49.2647436585,-123.152898673
Zebra Crossing;487480.0;5456736.0;49.2632594569;-123.172081451;49.2632594569,-123.172081451
Zebra Crossing;485686.0;5457357.0;49.2688060874;-123.196761196;49.2688060874,-123.196761196
Special Crossing;486515.0;5454416.0;49.2423701388;-123.185266733;49.2423701388,-123.185266733
Special Crossing;495694.0;5452474.0;49.225034778;-123.059138247;49.225034778,-123.059138247
Special Crossing;496240.0;5454408.0;49.2424351808;-123.051657669;49.2424351808,-123.051657669
Special Crossing;496222.0;5459116.0;49.2847844716;-123.051949404;49.2847844716,-123.051949404
Parallel Lines;486988.0;5453356.0;49.2328454647;-123.17873394;49.2328454647,-123.17873394
Parallel Lines;486992.0;5453990.0;49.2385485088;-123.178699568;49.2385485088,-123.178699568
Parallel Lines;489233.0;5452910.0;49.2288771903;-123.147884572;49.2288771903,-123.147884572
Parallel Lines;491411.0;5453017.0;49.2298741037;-123.117972144;49.2298741037,-123.117972144
Parallel Lines;491102.0;5453861.0;49.2374616656;-123.12223506;49.2374616656,-123.12223506
Parallel Lines;490712.0;5454948.0;49.2472336709;-123.127617812;49.2472336709,-123.127617812
Parallel Lines;493782.0;5457512.0;49.2703362615;-123.085475665;49.2703362615,-123.085475665
Parallel Lines;494367.0;5457059.0;49.2662671104;-123.077427601;49.2662671104,-123.077427601
Parallel Lines;493509.0;5456131.0;49.2579110643;-123.089206056;49.2579110643,-123.089206056
Parallel Lines;493989.0;5453337.0;49.2327833164;-123.082567489;49.2327833164,-123.082567489
Parallel Lines;493673.0;5453344.0;49.2328430991;-123.086908191;49.2328430991,-123.086908191
Parallel Lines;495676.0;5451301.0;49.2144832024;-123.059372816;49.2144832024,-123.059372816
Parallel Lines;498283.0;5452813.0;49.2280969023;-123.023582592;49.2280969023,-123.023582592
Parallel Lines;497537.0;5451926.0;49.2201155571;-123.03382328;49.2201155571,-123.03382328
Parallel Lines;495702.0;5452960.0;49.2294065285;-123.059033584;49.2294065285,-123.059033584
Parallel Lines;496692.0;5452949.0;49.2293137293;-123.045435721;49.2293137293,-123.045435721
Parallel Lines;498014.0;5456371.0;49.2601011288;-123.027294879;49.2601011288,-123.027294879
Parallel Lines;497546.0;5457199.0;49.2675474573;-123.03373198;49.2675474573,-123.03373198
Parallel Lines;496795.0;5459331.0;49.2867217059;-123.044072091;49.2867217059,-123.044072091
Parallel Lines;495887.0;5458816.0;49.2820837584;-123.056552734;49.2820837584,-123.056552734
Parallel Lines;493827.0;5458498.0;49.2792059614;-123.08487229;49.2792059614,-123.08487229
Parallel Lines;493196.0;5458416.0;49.2784616596;-123.093546473;49.2784616596,-123.093546473
Parallel Lines;492653.0;5458634.0;49.2804163205;-123.101016035;49.2804163205,-123.101016035
Parallel Lines;492319.0;5458668.0;49.2807180501;-123.105608943;49.2807180501,-123.105608943
Parallel Lines;492004.0;5459040.0;49.2840602092;-123.109947427;49.2840602092,-123.109947427
Parallel Lines;490538.0;5460801.0;49.2998797056;-123.130147016;49.2998797056,-123.130147016
Parallel Lines;490629.0;5459549.0;49.288619202;-123.128865979;49.288619202,-123.128865979
Parallel Lines;490460.0;5459913.0;49.2918908173;-123.131198677;49.2918908173,-123.131198677
Parallel Lines;489960.0;5459903.0;49.2917928544;-123.138074646;49.2917928544,-123.138074646
Parallel Lines;489608.0;5459548.0;49.2885936963;-123.142906265;49.2885936963,-123.142906265
Parallel Lines;489639.0;5459517.0;49.2883153734;-123.142479164;49.2883153734,-123.142479164
