OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
1734.0;Secondary Arterial;700-1000 E KENT AV NORTH;370.851007;700.0;1000.0;No sidewalk both sides;493499.221895;5450621.13439
1739.0;Secondary Arterial;700-1000 E KENT AV NORTH;370.851007;700.0;1000.0;No sidewalk both sides;493821.605629;5450662.28932
1740.0;Secondary Arterial;700-1000 E KENT AV NORTH;370.851007;700.0;1000.0;No sidewalk both sides;493867.087534;5450668.09546
1741.0;Residential;6300 GLADSTONE ST;46.441557;6300.0;6300.0;No sidewalk both sides;495464.370022;5452707.79267
1748.0;Residential;6900 YEW ST;114.883581;6900.0;6900.0;No sidewalk both sides;488423.590299;5452179.41295
1749.0;Residential;6900 YEW ST;114.883581;6900.0;6900.0;No sidewalk both sides;488437.255722;5452131.52092
1750.0;Residential;2800 E 40TH AV;52.713153;2800.0;2800.0;No sidewalks both sides;496604.774045;5453475.00053
1751.0;Residential;2800 E 40TH AV;52.713153;2800.0;2800.0;No sidewalks both sides;496657.487031;5453475.133
1752.0;Residential;2100 W 54TH AV;71.619113;2100.0;2100.0;No sidewalks both sides;488684.471885;5452125.98488
1755.0;Residential;7700 INVERNESS ST;48.239905;7700.0;7700.0;No sidewalks both sides;494164.75661;5451273.32675
1760.0;Residential;6700-6800 BALSAM ST;284.003148;6700.0;6800.0;No sidewalk both sides;488247.102915;5452292.59821
1764.0;Residential;6700-6800 YEW ST;239.481061;6700.0;6800.0;No sidewalk both sides;488424.39087;5452418.58761
1768.0;Residential;1100 SKEENA ST;45.846099;1100.0;1100.0;No sidewalks both sides;497934.64631;5458020.34503
1770.0;Residential;8100 POPLAR ST;44.302464;8100.0;8100.0;No sidewalks both sides;493203.300264;5451007.41224
1771.0;Residential;8100 POPLAR ST;44.302464;8100.0;8100.0;No sidewalks both sides;493202.540014;5450963.1163
1772.0;Residential;700-800 W 48TH AV;49.256325;700.0;800.0;No sidewalk both sides;490814.930241;5452744.55905
1773.0;Residential;700-800 W 48TH AV;49.256325;700.0;800.0;No sidewalk both sides;490765.746283;5452747.22812
1774.0;Residential;1000-1100 W 47TH AV;216.134112;1000.0;1100.0;No sidewalks both sides;490602.874616;5452856.71709
