OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
4.0;Residential;1200 W 75TH AV;129.344146;1200.0;1200.0;No sidewalk both sides;490275.642086;5449935.85525
7.0;Residential;500 W 50TH AV;65.754028;500.0;500.0;No sidewalk both sides;491450.402515;5452500.95807
9.0;Residential;700 W 50TH AV;99.335659;700.0;700.0;No sidewalk both sides;491197.6585;5452516.01653
14.0;Residential;6700 TISDALL ST;101.606032;6700.0;6700.0;No sidewalks both sides;491193.234028;5452315.10507
15.0;Residential;700 W 52ND AV;51.466486;700.0;700.0;No sidewalks both sides;491143.037073;5452302.84822
16.0;Residential;700 W 52ND AV;51.466486;700.0;700.0;No sidewalks both sides;491093.043076;5452290.62531
23.0;Residential;2800 W 47TH AV;47.888866;2800.0;2800.0;No sidewalks both sides;487648.304734;5452964.70406
26.0;Residential;1700 W 68TH AV;48.421907;1700.0;1700.0;No sidewalk both sides;489341.823968;5450880.05332
30.0;Residential;8400 WILTSHIRE ST;67.778297;8400.0;8400.0;No sidewalk both sides;489339.033018;5450765.41283
31.0;Residential;8400 WILTSHIRE ST;67.778297;8400.0;8400.0;No sidewalk both sides;489338.965987;5450762.63534
32.0;Residential;8000 EAST BOULEVARD;49.922948;8000.0;8000.0;No sidewalk both sides;489351.627707;5451120.96955
33.0;Residential;8000 EAST BOULEVARD;49.922948;8000.0;8000.0;No sidewalk both sides;489361.895195;5451072.11385
34.0;Collector;6900-7000 MACDONALD ST;221.493112;6900.0;7000.0;No sidewalk both sides;487740.118566;5452297.65414
37.0;Collector;6900-7000 MACDONALD ST;221.493112;6900.0;7000.0;No sidewalk both sides;487744.600335;5452102.82001
38.0;Collector;6900-7000 MACDONALD ST;221.493112;6900.0;7000.0;No sidewalk both sides;487744.741263;5452076.32727
41.0;Residential;3000-3100 W 57TH AV;219.130166;3000.0;3100.0;No sidewalk both sides;487262.618503;5451863.64987
42.0;Residential;3000-3100 W 57TH AV;219.130166;3000.0;3100.0;No sidewalk both sides;487197.631621;5451864.95566
43.0;Residential;3000-3100 W 57TH AV;219.130166;3000.0;3100.0;No sidewalk both sides;487173.506324;5451865.44041
48.0;Residential;2800-2900 W 53RD AV;337.140596;2800.0;2900.0;No sidewalk both sides;487480.165794;5452302.60957
50.0;Residential;2800-2900 W 53RD AV;337.140596;2800.0;2900.0;No sidewalk both sides;487403.039209;5452304.07982
52.0;Residential;7100-7200 CARNARVON ST;221.871787;7100.0;7200.0;No sidewalk both sides;487396.304748;5452017.86614
55.0;Residential;7100-7200 CARNARVON ST;221.871787;7100.0;7200.0;No sidewalk both sides;487392.592269;5451861.03829
59.0;Residential;1000 W 51ST AV;107.270286;1000.0;1000.0;No sidewalks both sides;490533.598037;5452456.83715
60.0;Residential;1000 W 51ST AV;107.270286;1000.0;1000.0;No sidewalks both sides;490491.339386;5452457.8289
61.0;Residential;1000 W 51ST AV;53.791692;1000.0;1000.0;No sidewalks both sides;490652.357021;5452454.04971
63.0;Residential;700 W 48TH AV;49.684677;700.0;700.0;No sidewalks both sides;491086.923104;5452729.80082
65.0;Residential;1400 W 52ND AV;83.134991;1400.0;1400.0;No sidewalk on both sides;489983.498321;5452371.38051
68.0;Residential;800 W 45TH AV;49.698187;800.0;800.0;No sidewalks both sides;490820.337921;5453049.76441
69.0;Residential;800 W 45TH AV;49.698187;800.0;800.0;No sidewalks both sides;490770.71406;5453052.48143
70.0;Residential;800 W 44TH AV;81.098769;800.0;800.0;No sidewalks both sides;490903.795963;5453148.9668
73.0;Residential;6300 WILLOW ST;43.127998;6300.0;6300.0;No sidewalks both sides;491037.038807;5452825.51409
75.0;Residential;6300 WILLOW ST;50.328877;6300.0;6300.0;No sidewalks both sides;491038.540517;5452782.80633
83.0;Collector;6900-7000 BLENHEIM ST;221.401817;6900.0;7000.0;No sidewalk both sides;486971.493262;5452247.29661
93.0;Residential;2500-2700 LILLOOET ST;218.792209;2500.0;2700.0;No sidewalks both sides;497241.803551;5456506.73104
103.0;Residential;3200 W 53RD AV;114.338378;3200.0;3200.0;No sidewalk on both sides;487068.26849;5452310.3946
106.0;Residential;6900-7000 BALACLAVA ST;221.347573;6900.0;7000.0;No sidewalk both sides;487179.923327;5452178.31071
111.0;Residential;3600-3800 W 50TH AV;406.103712;3600.0;3800.0;No sidewalks both sides;486363.293226;5452653.26969
112.0;Residential;3600-3800 W 50TH AV;406.103712;3600.0;3800.0;No sidewalks both sides;486298.298512;5452654.09859
117.0;Residential;1200 W 52ND AV;79.523029;1200.0;1200.0;No sidewalks both sides;490236.210782;5452365.40136
120.0;Residential;1200 W 52ND AV;50.569037;1200.0;1200.0;No sidewalks both sides;490286.766658;5452364.24769
122.0;Residential;1100 W 52ND AV;50.476019;1100.0;1100.0;No sidewalk on both sides;490438.403508;5452360.66676
125.0;Residential;1100 W 50TH AV;101.018569;1100.0;1100.0;No sidewalk both sides;490327.735551;5452560.14068
136.0;Residential;2500 SEMLIN DRIVE;40.421539;2500.0;2500.0;No sidewalks both sides;495345.219856;5456519.33411
141.0;Residential;6700 SELKIRK ST;98.395605;6700.0;6700.0;No sidewalks both sides;490287.606905;5452397.63272
142.0;Residential;6700 SELKIRK ST;98.395605;6700.0;6700.0;No sidewalks both sides;490286.766658;5452364.24769
144.0;Residential;6600 SELKIRK ST;48.749566;6600.0;6600.0;No sidewalks both sides;490289.242331;5452462.61215
145.0;Residential;6600 SELKIRK ST;49.664539;6600.0;6600.0;No sidewalks both sides;490291.727111;5452560.99485
148.0;Residential;9000-9200 OAK ST;165.669914;9000.0;9200.0;No sidewalks both sides;490494.999181;5449897.65664
156.0;Collector;7300 ELLIOTT ST;49.248218;7300.0;7300.0;No sidewalk both sides;496088.651153;5451596.67812
161.0;Residential;1700 LORNE ST;48.288999;1700.0;1700.0;No sidewalk both sides;492781.816719;5457356.18126
163.0;Residential;2900 YALE ST;51.201112;2900.0;2900.0;No sidewalk both sides;496796.300919;5459775.11862
164.0;Residential;2900 YALE ST;51.201112;2900.0;2900.0;No sidewalk both sides;496847.502023;5459775.08883
165.0;Residential;1600 E 51ST AV;50.290814;1600.0;1600.0;No sidewalks both sides;494668.431997;5452287.7313
166.0;Residential;1600 E 51ST AV;50.290814;1600.0;1600.0;No sidewalks both sides;494718.717257;5452286.9839
170.0;Residential;1500 E 43RD AV;50.345119;1500.0;1500.0;No sidewalk both sides;494688.690141;5453092.21259
172.0;Residential;7500 ST. GEORGE ST;51.023482;7500.0;7500.0;No sidewalk both sides;493142.23886;5451438.07524
175.0;Residential;8200-8400 PRINCE EDWARD ST;363.585201;8200.0;8400.0;No sidewalk both sides;492834.845467;5450898.47521
178.0;Residential;8200-8400 PRINCE EDWARD ST;363.585201;8200.0;8400.0;No sidewalk both sides;492828.947952;5450703.56441
179.0;Residential;8200-8400 PRINCE EDWARD ST;363.585201;8200.0;8400.0;No sidewalk both sides;492826.982113;5450638.59415
184.0;Residential;1500 NOOTKA ST;51.996481;1500.0;1500.0;No sidewalk both sides;496984.514727;5457622.03413
187.0;Residential;1000 SKEENA ST;45.836248;1000.0;1000.0;No sidewalks both sides;497934.64631;5458020.34503
189.0;Residential;6800 MCKINNON ST;36.062192;6800.0;6800.0;No sidewalks both sides;497159.696787;5452054.12743
195.0;Residential;2300 NOOTKA ST;50.342969;2300.0;2300.0;No sidewalk both sides;496976.526282;5456737.75513
200.0;Residential;5000 RUBY ST;53.737563;5000.0;5000.0;No sidewalk both sides;498084.29477;5454100.70038
201.0;Residential;5000 RUBY ST;53.737563;5000.0;5000.0;No sidewalk both sides;498055.564837;5454055.28764
204.0;Residential;4900 PAYNE ST;53.466454;4900.0;4900.0;No sidewalks both sides;497939.705114;5454191.3542
209.0;Residential;8600 LOGAN ST;174.96214;8600.0;8600.0;No sidewalks both sides;490892.259272;5450454.61443
210.0;Residential;8800-8900 SHAUGHNESSY ST;174.890826;8800.0;8900.0;No sidewalks both sides;490605.822872;5450271.67481
211.0;Residential;8800-8900 SHAUGHNESSY ST;174.890826;8800.0;8900.0;No sidewalks both sides;490640.841042;5450216.91417
214.0;Residential;1000 W 74TH AV;121.906007;1000.0;1000.0;No sidewalk both sides;490501.451389;5450147.29307
217.0;Residential;1500-1600 W 75TH AV;286.623659;1500.0;1600.0;No sidewalk both sides;489610.438817;5450184.38152
218.0;Residential;1500-1600 W 75TH AV;286.623659;1500.0;1600.0;No sidewalk both sides;489555.752441;5450217.79976
221.0;Residential;1500-1600 W 75TH AV;286.623659;1500.0;1600.0;No sidewalk both sides;489398.089477;5450332.54901
222.0;Residential;1500-1600 W 75TH AV;286.623659;1500.0;1600.0;No sidewalk both sides;489376.563503;5450348.21591
224.0;Residential;2300 E 15TH AV;55.856664;2300.0;2300.0;No sidewalks both sides;495816.311075;5456000.3594
233.0;Residential;1600 E 62ND AV;92.944253;1600.0;1600.0;No sidewalk both sides;494700.240005;5451219.12967
234.0;Residential;8000 COLUMBIA ST;19.849247;8000.0;8000.0;No sidewalks both sides;491785.633085;5451023.78714
235.0;Residential;8000 COLUMBIA ST;19.849247;8000.0;8000.0;No sidewalks both sides;491785.060356;5451003.94616
241.0;Residential;6500 MCKINNON ST;9.225611;6500.0;6500.0;No sidewalks both sides;497171.004801;5452380.23556
243.0;Collector;7600 ELLIOTT ST;18.759987;7600.0;7600.0;No sidewalk both sides;496014.678331;5451284.58622
244.0;Collector;7500 ELLIOTT ST;40.072023;7500.0;7500.0;No sidewalk both sides;496052.58459;5451385.14753
245.0;Collector;7500 ELLIOTT ST;40.072023;7500.0;7500.0;No sidewalk both sides;496038.45351;5451347.6498
246.0;Collector;7900-8000 ELLIOTT ST;6.05167;7900.0;8000.0;No sidewalk both sides;495967.792509;5450830.57196
248.0;Residential;6400 MCKINNON ST;40.301443;6400.0;6400.0;No sidewalks both sides;497175.973265;5452522.19626
249.0;Residential;6400 MCKINNON ST;40.301443;6400.0;6400.0;No sidewalks both sides;497174.509898;5452481.92139
251.0;Residential;6300 MCKINNON ST;41.580907;6300.0;6300.0;No sidewalks both sides;497177.353644;5452563.71212
257.0;Residential;1900 E 14TH AV;50.371153;1900.0;1900.0;No sidewalk both sides;495198.887443;5456108.19642
258.0;Residential;1900 E 14TH AV;50.371153;1900.0;1900.0;No sidewalk both sides;495249.257108;5456107.80928
261.0;Residential;5500-5600 BAILLIE ST;151.15912;5500.0;5600.0;No sidewalk both sides;491093.773982;5453525.01604
269.0;Residential;6500 MCKINNON ST;16.145098;6500.0;6500.0;No sidewalks both sides;497169.495355;5452339.56762
270.0;Residential;6500 MCKINNON ST;16.145098;6500.0;6500.0;No sidewalks both sides;497168.896179;5452323.43364
273.0;Residential;2000 KAMLOOPS ST;50.243076;2000.0;2000.0;No sidewalks both sides;496020.982521;5457103.18774
274.0;Residential;2000 KAMLOOPS ST;50.243076;2000.0;2000.0;No sidewalks both sides;496020.842469;5457052.94486
276.0;Residential;7800 COLUMBIA ST;30.403916;7800.0;7800.0;No sidewalks both sides;491789.834926;5451180.55801
287.0;Residential;3400 KAMLOOPS ST;46.166117;3400.0;3400.0;No sidewalks both sides;496031.286112;5455652.91975
289.0;Collector;8300 ELLIOTT ST;55.273644;8300.0;8300.0;No sidewalk both sides;495859.704454;5450533.76826
290.0;Collector;8300 ELLIOTT ST;55.273644;8300.0;8300.0;No sidewalk both sides;495858.359055;5450478.56347
292.0;Residential;2300 ROSEDALE DRIVE;92.585707;2300.0;2300.0;No sidewalks both sides;495683.582288;5450589.15814
296.0;Residential;4600 BALDWIN ST;49.343463;4600.0;4600.0;No sidewalk both sides;495786.158772;5454581.4357
301.0;Residential;7200 LAUREL ST;120.29558;7200.0;7200.0;No sidewalks both sides;490814.642546;5451883.61436
303.0;Residential;7300 HUDSON ST;51.579479;7300.0;7300.0;No sidewalk both sides;490239.564068;5451778.46548
304.0;Residential;7300 HUDSON ST;51.579479;7300.0;7300.0;No sidewalk both sides;490238.293327;5451726.90165
308.0;Residential;6000 GLADSTONE ST;53.962285;6000.0;6000.0;No sidewalk both sides;495464.370022;5452707.79267
309.0;Residential;4400 KAMLOOPS ST;46.03696;4400.0;4400.0;No sidewalks both sides;496051.541305;5454697.1211
310.0;Residential;4400 KAMLOOPS ST;46.03696;4400.0;4400.0;No sidewalks both sides;496051.361547;5454651.08449
315.0;Residential;7000 CHURCHILL ST;79.117899;7000.0;7000.0;No sidewalks both sides;489667.650587;5452114.58579
316.0;Residential;7000 CHURCHILL ST;79.117899;7000.0;7000.0;No sidewalks both sides;489665.842267;5452049.61095
317.0;Residential;7000 CHURCHILL ST;79.117899;7000.0;7000.0;No sidewalks both sides;489665.449502;5452035.49851
321.0;Residential;700 W 54TH AV;39.989481;700.0;700.0;No sidewalks both sides;491078.449188;5452084.78433
322.0;Residential;700 W 54TH AV;39.989481;700.0;700.0;No sidewalks both sides;491038.544492;5452082.70034
324.0;Residential;6900 TISDALL ST;51.065439;6900.0;6900.0;No sidewalks both sides;491217.559219;5452115.17783
325.0;Residential;7000 TISDALL ST;46.332784;7000.0;7000.0;No sidewalks both sides;491178.205119;5452106.95817
327.0;Residential;3300 QUADRA ST;50.968376;3300.0;3300.0;No sidewalks both sides;486885.111954;5456031.54224
329.0;Residential;7100 PRINCE ALBERT ST;47.395351;7100.0;7100.0;No sidewalk both sides;493610.090214;5451907.12853
332.0;Residential;1400 E 54TH AV;50.069524;1400.0;1400.0;No sidewalk both sides;494408.391018;5451963.58574
333.0;Residential;6600 MCKINNON ST;7.439415;6600.0;6600.0;No sidewalks both sides;497166.048258;5452239.30976
342.0;Secondary Arterial;1200 E KENT AV SOUTH;66.022827;1200.0;1200.0;No sidewalk both sides;494112.779278;5450669.13223
343.0;Residential;8400 CROMPTON ST;107.537391;8400.0;8400.0;No sidewalk both sides;494112.779278;5450669.13223
345.0;Residential;8400 CROMPTON ST;107.537391;8400.0;8400.0;No sidewalk both sides;494111.20396;5450561.60638
348.0;Residential;5800 LAUREL ST;52.336639;5800.0;5800.0;No sidewalks both sides;490880.001516;5453306.19983
353.0;Residential;3800 PRINCE ALBERT ST;50.220585;3800.0;3800.0;No sidewalk both sides;493618.005397;5455308.99538
355.0;Residential;6800-7000 SELKIRK ST;70.982893;6800.0;7000.0;No sidewalk both sides;490280.682606;5452106.41592
365.0;Residential;7100 HUDSON ST;64.434873;7100.0;7100.0;No sidewalk both sides;490149.011912;5452039.091
366.0;Residential;7000 CARTIER ST;50.258497;7000.0;7000.0;No sidewalk both sides;489978.944718;5452208.12254
368.0;Residential;6400 FRONTENAC ST;61.108361;6400.0;6400.0;No sidewalk both sides;498106.977848;5452493.24655
371.0;Residential;2700 E 40TH AV;53.536995;2700.0;2700.0;No sidewalks both sides;496290.214443;5453455.30993
379.0;Residential;1900 KAMLOOPS ST;50.241987;1900.0;1900.0;No sidewalks both sides;496021.037465;5457153.38464
386.0;Arterial;1700-1800 E KENT AV NORTH;278.29861;1700.0;1800.0;No sidewalk both sides;494983.692778;5450612.06233
389.0;Residential;8300-8400 BEATRICE ST;66.067323;8300.0;8400.0;No sidewalks both sides;495062.219911;5450764.83475
394.0;Residential;5900 LAUREL ST;54.896454;5900.0;5900.0;No sidewalks both sides;490888.290177;5453201.60732
395.0;Residential;5900 LAUREL ST;54.896454;5900.0;5900.0;No sidewalks both sides;490903.795963;5453148.9668
400.0;Residential;1900-2000 W 61ST AV;53.35768;1900.0;2000.0;No sidewalk both sides;488791.585706;5451487.46444
402.0;Residential;7700 ARBUTUS ST;76.658999;7700.0;7700.0;No sidewalks both sides;488738.236068;5451488.39087
406.0;Residential;1400 E 39TH AV;50.21654;1400.0;1400.0;No sidewalks both sides;494497.76653;5453558.33793
413.0;Residential;1400 E 29TH AV;79.080737;1400.0;1400.0;No sidewalk both sides;494576.906715;5454644.3003
427.0;Residential;1800 W 63RD AV;50.301417;1800.0;1800.0;No sidewalks both sides;489032.34736;5451273.74166
432.0;Residential;4900 MACDONALD ST;52.813982;4900.0;4900.0;No sidewalks both sides;487771.831078;5454353.0238
433.0;Residential;5900 COLLINGWOOD ST;77.809992;5900.0;5900.0;No sidewalks both sides;486747.451366;5453357.60674
435.0;Residential;5900 COLLINGWOOD ST;77.809992;5900.0;5900.0;No sidewalks both sides;486746.740303;5453279.8
436.0;Residential;2700 E 43RD AV;46.272255;2700.0;2700.0;No sidewalk both sides;496400.510881;5453154.32981
441.0;Residential;2700 E 43RD AV;55.076505;2700.0;2700.0;No sidewalk both sides;496295.207154;5453152.6306
444.0;Residential;4700 BALACLAVA ST;52.712117;4700.0;4700.0;No sidewalks both sides;487208.92707;5454568.63334
445.0;Residential;4700 BALACLAVA ST;52.712117;4700.0;4700.0;No sidewalks both sides;487208.407387;5454515.92379
446.0;Residential;4300-4400 TOWNLEY ST;52.063289;4300.0;4400.0;No sidewalks both sides;488460.817249;5454888.79352
448.0;Residential;4300-4400 TOWNLEY ST;113.768131;4300.0;4400.0;No sidewalks both sides;488412.47878;5454991.78177
449.0;Residential;4300-4400 TOWNLEY ST;113.768131;4300.0;4400.0;No sidewalks both sides;488440.09636;5454932.94072
451.0;Residential;4300 MAPLE ST;49.651789;4300.0;4300.0;No sidewalk both sides;488950.87945;5454993.27533
454.0;Residential;7000-7200 MARGUERITE ST;51.803504;7000.0;7200.0;No sidewalk both sides;489420.00173;5451857.8224
456.0;Residential;2000 W 50TH AV;47.7225;2000.0;2000.0;No sidewalk both sides;488858.875184;5452570.36444
458.0;Residential;2400 MCMULLEN AV;62.936814;2400.0;2400.0;No sidewalks both sides;488229.741569;5454883.59031
467.0;Residential;0-100 W 62ND AV;47.206971;0.0;100.0;No sidewalks both sides;492249.356712;5451274.70967
471.0;Residential;3800 KOOTENAY ST;5.57797;3800.0;3800.0;No sidewalk both sides;498090.170036;5455269.33113
475.0;Residential;5600 SOPHIA ST;49.781638;5600.0;5600.0;No sidewalks both sides;492754.991924;5453526.83048
478.0;Residential;1500-1600 GLEN DRIVE;12.190249;1500.0;1600.0;No sidewalk on both sides;494077.028376;5457435.52081
479.0;Collector;7900-8000 ELLIOTT ST;253.253534;7900.0;8000.0;No sidewalk both sides;495986.254676;5451082.95375
484.0;Residential;3200 KASLO ST;54.43352;3200.0;3200.0;No sidewalks both sides;496576.737945;5455796.71319
485.0;Residential;3200 KASLO ST;54.43352;3200.0;3200.0;No sidewalks both sides;496576.425981;5455742.28057
492.0;Residential;6600-6700 MONTGOMERY ST;49.651428;6600.0;6700.0;No sidewalk both sides;490391.512312;5452508.96241
495.0;Residential;6400 COLUMBIA ST;52.742699;6400.0;6400.0;No sidewalks both sides;491935.397043;5452627.62622
496.0;Residential;6400 COLUMBIA ST;52.742699;6400.0;6400.0;No sidewalks both sides;491936.118372;5452574.88846
499.0;Residential;6500 MONTGOMERY ST;50.191582;6500.0;6500.0;No sidewalks both sides;490393.93522;5452608.77602
501.0;Residential;700 W 52ND AV;51.013082;700.0;700.0;No sidewalks both sides;491093.043076;5452290.62531
502.0;Residential;700 W 52ND AV;51.013082;700.0;700.0;No sidewalks both sides;491043.187631;5452281.228
507.0;Residential;2700 TEMPLETON DRIVE;50.218269;2700.0;2700.0;No sidewalks both sides;495625.205908;5456404.72979
509.0;Residential;1400 E 39TH AV;50.211168;1400.0;1400.0;No sidewalks both sides;494548.020483;5453557.47151
510.0;Residential;1400 E 39TH AV;50.211168;1400.0;1400.0;No sidewalks both sides;494598.223774;5453556.58221
511.0;Residential;1200 W 75TH AV;46.167816;1200.0;1200.0;No sidewalk both sides;490211.31793;5449937.45899
515.0;Residential;1700 W 68TH AV;163.961166;1700.0;1700.0;No sidewalk both sides;489211.867549;5450883.41921
516.0;Residential;1700 W 68TH AV;163.961166;1700.0;1700.0;No sidewalk both sides;489177.917768;5450884.29851
519.0;Residential;3200 W 51ST AV;209.782482;3200.0;3200.0;No sidewalks both sides;487057.143163;5452531.7
523.0;Residential;6500-6600 BALACLAVA ST;221.510703;6500.0;6600.0;No sidewalks both sides;487190.308033;5452685.50668
526.0;Residential;6500-6600 BALACLAVA ST;221.510703;6500.0;6600.0;No sidewalks both sides;487187.115711;5452529.02854
527.0;Residential;3000-3100 W 45TH AV;200.685901;3000.0;3100.0;No sidewalks both sides;487398.588854;5453151.18087
533.0;Residential;4100 PENTICTON ST;76.374387;4100.0;4100.0;No sidewalks both sides;496222.651455;5454906.67072
534.0;Residential;4100 PENTICTON ST;76.374387;4100.0;4100.0;No sidewalks both sides;496222.710767;5454895.29649
535.0;Residential;2900 LILLOOET ST;55.163286;2900.0;2900.0;No sidewalk both sides;497159.890273;5456153.10384
539.0;Residential;3400 LILLOOET ST;46.549913;3400.0;3400.0;No sidewalks both sides;497158.01296;5455646.93488
540.0;Residential;3400 LILLOOET ST;46.549913;3400.0;3400.0;No sidewalks both sides;497157.916928;5455600.38507
542.0;Residential;4700-4800 BELMONT AV;383.622895;4700.0;4800.0;No sidewalk both sides;483960.140517;5458086.88586
544.0;Residential;4700-4800 BELMONT AV;383.622895;4700.0;4800.0;No sidewalk both sides;483830.734805;5458078.37245
547.0;Residential;4700-4800 BELMONT AV;383.622895;4700.0;4800.0;No sidewalk both sides;483650.121815;5458025.20435
549.0;Residential;1600-1700 W 62ND AV;293.758441;1600.0;1700.0;No sidewalks both sides;489486.967007;5451367.07856
552.0;Residential;1600-1700 W 62ND AV;293.758441;1600.0;1700.0;No sidewalks both sides;489292.03743;5451372.31876
553.0;Residential;1600-1700 W 62ND AV;293.758441;1600.0;1700.0;No sidewalks both sides;489258.291181;5451373.22594
558.0;Residential;5400 SOPHIA ST;50.315357;5400.0;5400.0;No sidewalks both sides;492764.320387;5453678.49624
571.0;Residential;8300-8400 ONTARIO ST;285.485766;8300.0;8400.0;No sidewalks both sides;492218.055085;5450457.18952
573.0;Residential;0 W 69TH AV;249.910911;0.0;0.0;No sidewalk both sides;492163.314989;5450744.79366
574.0;Residential;0 W 69TH AV;249.910911;0.0;0.0;No sidewalk both sides;492098.355741;5450747.09499
575.0;Residential;0 W 69TH AV;249.910911;0.0;0.0;No sidewalk both sides;492033.396494;5450749.39633
578.0;Residential;8300 MANITOBA ST;92.785751;8300.0;8300.0;no sidewalk on both sides- 1/3 sidewalk on North west area;491976.430778;5450686.37404
580.0;Residential;7900 COLUMBIA ST;46.033366;7900.0;7900.0;No sidewalks both sides;491789.395474;5451139.14905
586.0;Residential;3500 W 48TH AV;246.374083;3500.0;3500.0;No sidewalk both sides;486742.59007;5452878.04775
589.0;Residential;3500 W 48TH AV;246.374083;3500.0;3500.0;No sidewalk both sides;486547.606588;5452880.58577
598.0;Residential;800-900 MALKIN AV;266.190671;800.0;900.0;No sidewalks both sides;493980.271574;5457835.00715
601.0;Residential;4800 MCHARDY ST;56.089932;4800.0;4800.0;No sidewalks both sides;497628.407705;5454321.63029
602.0;Residential;4800 MCHARDY ST;56.089932;4800.0;4800.0;No sidewalks both sides;497598.94177;5454273.90357
604.0;Residential;7500 ST. GEORGE ST;48.920869;7500.0;7500.0;No sidewalk both sides;493143.178442;5451489.09007
607.0;Residential;8000 BUSCOMBE ST;72.46252;8000.0;8000.0;No sidewalk both sides;493054.644788;5450923.86694
616.0;Residential;6000 COLLINGWOOD ST;51.073053;6000.0;6000.0;No sidewalks both sides;486746.740303;5453279.8
618.0;Residential;1300-1500 KOOTENAY ST;330.6438;1300.0;1500.0;No sidewalk both sides;497982.104014;5457831.9455
627.0;Residential;3000 E 55TH AV;70.039432;3000.0;3000.0;No sidewalks both sides;496989.616029;5451820.47106
635.0;Collector;8300 ELLIOTT ST;45.753996;8300.0;8300.0;No sidewalk both sides;495859.704454;5450533.76826
638.0;Residential;7800 COLUMBIA ST;22.831429;7800.0;7800.0;No sidewalks both sides;491791.871701;5451258.15295
639.0;Residential;7800 COLUMBIA ST;22.831429;7800.0;7800.0;No sidewalks both sides;491791.329161;5451235.32797
642.0;Residential;7000 OSLER ST;70.15119;7000.0;7000.0;No sidewalks both sides;490484.204534;5452166.65551
643.0;Residential;4700-4800 PATON ST;91.221603;4700.0;4800.0;No sidewalks both sides;488263.507562;5454665.69448
647.0;Residential;1900 W 50TH AV;52.706904;1900.0;1900.0;No sidewalk both sides;489064.699845;5452566.25528
648.0;Residential;7000 EAST BOULEVARD;54.980084;7000.0;7000.0;No sidewalks both sides;488979.530606;5452129.36637
650.0;Residential;4800 MACDONALD ST;52.773446;4800.0;4800.0;No sidewalks both sides;487780.362429;5454458.54169
651.0;Residential;4800 MACDONALD ST;52.773446;4800.0;4800.0;No sidewalks both sides;487779.899773;5454405.77027
652.0;Residential;4800 BALACLAVA ST;52.738116;4800.0;4800.0;No sidewalks both sides;487207.886705;5454463.19023
654.0;Residential;4400 MAPLE ST;45.955229;4400.0;4400.0;No sidewalk both sides;488946.943297;5454844.44515
657.0;Residential;4600 MACDONALD ST;53.028662;4600.0;4600.0;No sidewalks both sides;487777.528127;5454669.42738
658.0;Residential;5400 CARTIER ST;48.112167;5400.0;5400.0;No sidewalk both sides - curb protection- east side;490019.929722;5453815.81876
660.0;Residential;6800 MCKINNON ST;13.779345;6800.0;6800.0;No sidewalks both sides;497159.696787;5452054.12743
669.0;Residential;8100 CROMPTON ST;110.446801;8100.0;8100.0;No sidewalk both sides;494120.544801;5450862.463
672.0;Secondary Arterial;1500 E KENT AV SOUTH;129.404425;1500.0;1500.0;No sidewalk both sides;494579.464628;5450723.12893
673.0;Secondary Arterial;1500 E KENT AV SOUTH;129.404425;1500.0;1500.0;No sidewalk both sides;494643.398684;5450715.90248
674.0;Collector;6600-6800 MACDONALD ST;278.882796;6600.0;6800.0;No sidewalk both sides;487737.820492;5452568.73104
676.0;Collector;6600-6800 MACDONALD ST;278.882796;6600.0;6800.0;No sidewalk both sides;487710.791353;5452443.56799
677.0;Collector;6600-6800 MACDONALD ST;278.882796;6600.0;6800.0;No sidewalk both sides;487723.770837;5452379.89954
678.0;Collector;6600-6800 MACDONALD ST;278.882796;6600.0;6800.0;No sidewalk both sides;487737.241773;5452316.31477
683.0;Residential;6100-6200 CEDARHURST ST;183.43848;6100.0;6200.0;No sidewalks both sides;487505.093667;5452966.43614
684.0;Residential;3200 W 53RD AV;50.22271;3200.0;3200.0;No sidewalk on both sides;487023.040705;5452311.28973
688.0;Collector;7100-7300 BLENHEIM ST;321.760943;7100.0;7300.0;No sidewalk both sides;486965.576947;5451960.95591
695.0;Residential;3000-3100 W 53RD AV;220.491907;3000.0;3100.0;No sidewalk both sides;487208.07465;5452307.79741
699.0;Residential;6400 BALACLAVA ST;120.320833;6400.0;6400.0;No sidewalks both sides;487191.633827;5452750.49316
702.0;Residential;3100 W 48TH AV;114.397909;3100.0;3100.0;No sidewalk both sides;487194.116432;5452870.78838
703.0;Residential;8400-8500 EAST BOULEVARD;141.612404;8400.0;8500.0;No sidewalk both sides;489454.599879;5450788.70847
706.0;Residential;8400-8500 EAST BOULEVARD;141.612404;8400.0;8500.0;No sidewalk both sides;489498.716821;5450654.14336
708.0;Residential;3000 LILLOOET ST;45.000275;3000.0;3000.0;No sidewalk both sides;497159.077162;5455959.60762
714.0;Residential;6000 MCKINNON ST;46.330286;6000.0;6000.0;No sidewalks both sides;497186.365569;5452899.13606
718.0;Residential;1300 GLEN DRIVE;180.812331;1300.0;1300.0;No sidewalk on both sides;494074.325748;5457764.24094
719.0;Residential;1300 GLEN DRIVE;180.812331;1300.0;1300.0;No sidewalk on both sides;494073.408133;5457699.24742
721.0;Residential;2800 SEMLIN DRIVE;51.362125;2800.0;2800.0;No sidewalks both sides;495342.440572;5456308.83793
726.0;Residential;1700 VERNON DRIVE;101.709896;1700.0;1700.0;No sidewalk both sides;494262.705419;5457374.06824
732.0;Residential;1100 E KENT AV SOUTH;175.389459;1100.0;1100.0;No sidewalk both sides;494002.272401;5450654.95737
