"","gender","year","area","car_drv","car_psg","transit","walk","bicycle","other"
"1","total",2016,"AR",0.619380619380619,0.043956043956044,0.235764235764236,0.038961038961039,0.040959040959041,0.020979020979021
"7","male",2016,"AR",0.662698412698413,0.0277777777777778,0.214285714285714,0.0218253968253968,0.0535714285714286,0.0198412698412698
"13","female",2016,"AR",0.57429718875502,0.0602409638554217,0.259036144578313,0.0562248995983936,0.0281124497991968,0.0220883534136546
"19","total",2016,"CBD",0.303833914229429,0.0216699499924231,0.212456432792847,0.413850583421731,0.0309137748143658,0.0172753447492044
"25","male",2016,"CBD",0.340769659788065,0.0122699386503067,0.183770217512549,0.406023424428332,0.0390407138873397,0.0181260457334077
"31","female",2016,"CBD",0.259787657597877,0.0328467153284672,0.246516257465163,0.423025879230259,0.0212342402123424,0.0165892501658925
"37","total",2016,"DS",0.625727213962508,0.0465416936005171,0.188106011635423,0.0542986425339367,0.0588235294117647,0.02650290885585
"43","male",2016,"DS",0.677540777917189,0.0313676286072773,0.150564617314931,0.0401505646173149,0.0752823086574655,0.0250941028858218
"49","female",2016,"DS",0.571428571428571,0.0627503337783712,0.226969292389853,0.0707610146862483,0.0400534045393858,0.0280373831775701
"55","total",2016,"FAIR",0.382139148494289,0.0207684319833853,0.300882658359294,0.198598130841121,0.0825545171339564,0.0150571131879543
"61","male",2016,"FAIR",0.4304562946674,0.0159428257284222,0.268829026937878,0.162726772952172,0.104452996151732,0.0175920835623969
"67","female",2016,"FAIR",0.33874139626352,0.0250737463126844,0.329891838741396,0.231071779744346,0.0624385447394297,0.0127826941986234
"73","total",2016,"GW",0.414316044889293,0.0309372156505914,0.327267212617531,0.0776463451622687,0.13466787989081,0.0151653017895056
"79","male",2016,"GW",0.444308445532436,0.0232558139534884,0.297429620563036,0.0660954712362301,0.1468788249694,0.02203182374541
"85","female",2016,"GW",0.384153661464586,0.0384153661464586,0.356542617046819,0.0894357743097239,0.123049219687875,0.00840336134453781
"91","total",2016,"HS",0.567600120445649,0.0499849442938874,0.28515507377296,0.0400481782595604,0.0454682324601024,0.011743450767841
"97","male",2016,"HS",0.651397977394408,0.0267697798929209,0.226055919095776,0.02558001189768,0.0565139797739441,0.0136823319452707
"103","female",2016,"HS",0.482317073170732,0.073780487804878,0.345731707317073,0.0542682926829268,0.0341463414634146,0.00975609756097561
"109","total",2016,"KC",0.49347360218196,0.0483148256380284,0.347360218195987,0.0375998441457237,0.0615624391194233,0.0116890707188778
"115","male",2016,"KC",0.574181117533719,0.0296724470134875,0.28092485549133,0.0292870905587669,0.0755298651252408,0.0104046242774566
"121","female",2016,"KC",0.410953506698188,0.0673758865248227,0.415287628053585,0.0460992907801418,0.0472813238770686,0.0130023640661939
"127","total",2016,"KERR",0.642931937172775,0.043979057591623,0.213612565445026,0.037696335078534,0.0429319371727749,0.018848167539267
"133","male",2016,"KERR",0.714285714285714,0.0198412698412698,0.160714285714286,0.0277777777777778,0.0615079365079365,0.0158730158730159
"139","female",2016,"KERR",0.562222222222222,0.0711111111111111,0.273333333333333,0.0488888888888889,0.0222222222222222,0.0222222222222222
"145","total",2016,"KIL",0.63808828894564,0.0510762495439621,0.269609631521343,0.0211601605253557,0.013133892739876,0.00693177672382342
"151","male",2016,"KIL",0.727806309611152,0.0286133528980191,0.203961848862803,0.00880410858400587,0.0234776228906823,0.00733675715333822
"157","female",2016,"KIL",0.548550724637681,0.0739130434782609,0.334057971014493,0.0333333333333333,0.0036231884057971,0.00652173913043478
"163","total",2016,"KITS",0.429590766002099,0.0241343126967471,0.303882476390346,0.115634837355719,0.107869884575026,0.018887722980063
"169","male",2016,"KITS",0.482421005785492,0.0173564753004005,0.2572318647085,0.091677792612372,0.129951045838896,0.0213618157543391
"175","female",2016,"KITS",0.382294561333863,0.0305676855895196,0.345375148868599,0.136959110758237,0.0881302104009528,0.0166732830488289
"181","total",2016,"MARP",0.51295799821269,0.0366398570151921,0.369079535299374,0.0460232350312779,0.0263628239499553,0.00893655049151028
"187","male",2016,"MARP",0.583623693379791,0.0174216027874564,0.315331010452962,0.0400696864111498,0.0357142857142857,0.0078397212543554
"193","female",2016,"MARP",0.439046746104491,0.0568285976168653,0.425297891842346,0.0531622364802933,0.0155820348304308,0.0100824931255729
"199","total",2016,"MP",0.38871473354232,0.027972027972028,0.299493609838437,0.146129732336629,0.121533638775018,0.0161562575355679
"205","male",2016,"MP",0.448207171314741,0.0174302788844621,0.252490039840637,0.122011952191235,0.139940239043825,0.0199203187250996
"211","female",2016,"MP",0.332241459990641,0.0379036031820309,0.344408048666355,0.168928404305101,0.104351895180159,0.0121665886757136
"217","total",2016,"OAK",0.579610538373425,0.0515463917525773,0.290950744558992,0.0481099656357388,0.0160366552119129,0.013745704467354
"223","male",2016,"OAK",0.659722222222222,0.0300925925925926,0.233796296296296,0.0416666666666667,0.0208333333333333,0.0138888888888889
"229","female",2016,"OAK",0.5,0.0723981900452489,0.34841628959276,0.0565610859728507,0.0113122171945701,0.0113122171945701
"235","total",2016,"RC",0.499424626006905,0.047180667433832,0.404296125815113,0.025891829689298,0.014192558496356,0.00901419255849636
"241","male",2016,"RC",0.594111069698099,0.0309355199403653,0.320163995527395,0.0257174804323518,0.0201267238166232,0.00894521058516586
"247","female",2016,"RC",0.398656657447649,0.0644014223627025,0.493875938364283,0.0260766495456341,0.00790201501382853,0.00908731726590281
"253","total",2016,"RP",0.48297213622291,0.0344980097302079,0.283502874834144,0.0818222025652366,0.102167182662539,0.0150375939849624
"259","male",2016,"RP",0.533453887884268,0.0162748643761302,0.243218806509946,0.0641952983725136,0.126582278481013,0.0162748643761302
"265","female",2016,"RP",0.435008665511265,0.0519930675909879,0.321490467937608,0.0987868284228769,0.0797227036395147,0.012998266897747
"271","total",2016,"SHAU",0.643979057591623,0.0366492146596859,0.165794066317627,0.075043630017452,0.0610820244328098,0.0174520069808028
"277","male",2016,"SHAU",0.688102893890675,0.0289389067524116,0.135048231511254,0.0546623794212219,0.0803858520900322,0.0128617363344051
"283","female",2016,"SHAU",0.592307692307692,0.0461538461538462,0.2,0.1,0.0384615384615385,0.0230769230769231
"289","total",2016,"SC",0.453665283540802,0.0221300138312586,0.291839557399723,0.138312586445367,0.0816044260027663,0.012448132780083
"295","male",2016,"SC",0.519662921348315,0.0168539325842697,0.27247191011236,0.0814606741573034,0.0955056179775281,0.0140449438202247
"301","female",2016,"SC",0.389645776566757,0.0272479564032698,0.310626702997275,0.196185286103542,0.0653950953678474,0.0108991825613079
"307","total",2016,"STR",0.288384512683578,0.0267022696929239,0.2630173564753,0.244325767690254,0.156208277703605,0.0213618157543391
"313","male",2016,"STR",0.323308270676692,0.0275689223057644,0.218045112781955,0.235588972431078,0.172932330827068,0.0225563909774436
"319","female",2016,"STR",0.247863247863248,0.0284900284900285,0.313390313390313,0.253561253561254,0.136752136752137,0.0199430199430199
"325","total",2016,"SUN",0.529282375584273,0.0566400879846027,0.351938410778114,0.0280450921088809,0.0236458619741545,0.0104481715699753
