Date;Time;Location;Location Type;Pedestrian;Bike;Motorcycle;Veh;Age;Gender ;Lat;Long;geopoint
2017-09-17 00:00:00;14:50:00;E 12th Av at Commercial Dr;Intersection;1;;;0;80-89;F;49.2595612214;-123.06981555;49.2595612214,-123.06981555
2017-12-20 00:00:00;07:00:00;Jepson-Young Lane;Midblock;1;;;0;;F;;;
2018-03-04 00:00:00;00:54:00;4200 Block W 16th Ave;Close  to Intersection;;;;1;20-29;M;49.2581777986;-123.201688747;49.2581777986,-123.201688747
2018-04-04 00:00:00;21:15:00;E 12th Ave / Clark Dr;Intersection;1;;;0;20-29;F;49.2596221034;-123.077555186;49.2596221034,-123.077555186
2018-05-27 00:00:00;03:04:00;3500 Block Cambie St;Mid-block;1;;;;20-29;M;49.2534923699;-123.115215787;49.2534923699,-123.115215787
2018-11-02 00:00:00;10:32:00;SE Marine Dr / Victoria Dr;Intersection;1;;;;80-89;M;49.209689525;-123.066111263;49.209689525,-123.066111263
2019-02-04 00:00:00;11:55:00;Clark Dr / Venables St;Intersection;;;;1;20-29;M;49.2767557454;-123.077228138;49.2767557454,-123.077228138
2019-02-08 00:00:00;17:23:00;W Hastings St / Abbott St;Intersection;1;;;;60-69;M;49.2819909174;-123.107195214;49.2819909174,-123.107195214
2019-02-16 00:00:00;23:01:00;Cambie St / W 57th Ave;Intersection;;;;1;20-29;M;49.2190535753;-123.116771053;49.2190535753,-123.116771053
2019-05-23 00:00:00;15:55:00;W 4th Ave / Blanca St;Intersection;;;1;;40-49;M;49.2691037831;-123.21502423;49.2691037831,-123.21502423
09-173786;;Trans Canada Hwy/McGill St Off Ramp;;;;;1;30-39;M;;;
09-191319;;Nelson St/Denman St;;1;;;0;70-79;M;49.2893653844;-123.138621304;49.2893653844,-123.138621304
09-21553;;1500 Blk E Broadway;;1;;;0;80-89;M;49.2623347999;-123.071696772;49.2623347999,-123.071696772
09-217975;;Cambie St/Dunsmuir St;;;;1;0;30-39;M;49.2804691242;-123.111536284;49.2804691242,-123.111536284
09-23437;;1588 Rand Av;;1;;;0;70-79;M;49.2050673099;-123.141934415;49.2050673099,-123.141934415
09-23636;;1100 Blk Davie St;;1;;;0;30-39;M;49.2810835883;-123.132278127;49.2810835883,-123.132278127
09-98997;;Point Grey Rd/Bayswater St;;;;;1;90-99;F;49.2710803567;-123.170970847;49.2710803567,-123.170970847
