ID;Street 1;Street 2;Address;NW;NE;SW;SE;Lat ;Long;UTM_X;UTM_Y;School;geopoint
278.0;E 27th Ave;Windermere St;E 27th Ave & Windermere St, Vancouver, BC, Canada;S;;S;;49.246274;-123.036618;497334.0;5454834.0;Windermere Secondary;49.246274,-123.036618
280.0;W 28th Ave;Carnarvon St;W 28th Ave & Carnarvon St, Vancouver, BC, Canada;S;;;S;49.247097;-123.172928;487414.0;5454939.0;;49.247097,-123.172928
283.0;E 28th Ave;Fraser St;E 28th Ave & Fraser St, Vancouver, BC, Canada;D;S;;;49.245562;-123.090228;493433.0;5454758.0;;49.245562,-123.090228
285.0;E 28th Ave;Rupert St;E 28th Ave & Rupert St, Vancouver, BC, Canada;S;;;;49.24536;-123.033769;497542.0;5454732.0;;49.24536,-123.033769
286.0;E 28th Ave;Windermere St;E 28th Ave & Windermere St, Vancouver, BC, Canada;;S;;;49.245376;-123.036639;497333.0;5454734.0;;49.245376,-123.036639
294.0;E 29th Ave;Prince Albert St;E 29th Ave & Prince Albert St, Vancouver, BC, Canada;D;;S;;49.244711;-123.087864;493604.0;5454663.0;;49.244711,-123.087864
299.0;W 30th Ave;Valley Dr;W 30th Ave & Valley Dr, Vancouver, BC, Canada;S;S;S;S;49.244756;-123.152379;488909.0;5454675.0;;49.244756,-123.152379
302.0;E 30th Ave;St Catherine St;E 30th Ave & St Catherine St, Vancouver, BC, Canada;S;;;;49.243245;-123.08594;493744.0;5454500.0;;49.243245,-123.08594
304.0;W 31st Ave;Heather St;W 31st Ave & Heather St, Vancouver, BC, Canada;S;S;S;S;49.243287;-123.120544;491226.0;5454508.0;;49.243287,-123.120544
306.0;E 31st Ave;Victoria Dr;E 31st Ave & Victoria Dr, Vancouver, BC, Canada;S;;S;;49.242847;-123.065241;495251.0;5454454.0;;49.242847,-123.065241
310.0;E 32nd Ave;Prince Albert St;E 32nd Ave & Prince Albert St, Vancouver, BC, Canada;;S;;;49.241685;-123.087938;493599.0;5454327.0;;49.241685,-123.087938
313.0;W 33rd Ave;Collingwood St;W 33rd Ave & Collingwood St, Vancouver, BC, Canada;S;;;;49.242368;-123.18195;486756.0;5454415.0;;49.242368,-123.18195
316.0;E 33rd Ave;St Catherine St;E 33rd Ave & St Catherine St, Vancouver, BC, Canada;;S;;S;49.240267;-123.086817;493680.0;5454169.0;McBride Annex;49.240267,-123.086817
318.0;E 33rd Ave;Dumfries St;E 33rd Ave & Dumfries St, Vancouver, BC, Canada;S;;;;49.240185;-123.074045;494610.0;5454159.0;;49.240185,-123.074045
320.0;E 33rd Ave;Gladstone St;E 33rd Ave & Gladstone St, Vancouver, BC, Canada;S;S;;;49.239796;-123.062876;495423.0;5454115.0;;49.239796,-123.062876
321.0;E 33rd Ave;Nanaimo St;E 33rd Ave & Nanaimo St, Vancouver, BC, Canada;;;;S;49.239785;-123.058755;495723.0;5454113.0;;49.239785,-123.058755
322.0;E 33rd Ave;E 30th Ave;E 33rd Ave & E 30th Ave, Vancouver, BC, Canada;S;;;;49.239767;-123.056791;495866.0;5454111.0;;49.239767,-123.056791
324.0;W 34th Ave;Collingwood St;W 34th Ave & Collingwood St, Vancouver, BC, Canada;;;;S;49.241445;-123.181978;486754.0;5454312.0;;49.241445,-123.181978
325.0;W 34th Ave;Balaclava St;W 34th Ave & Balaclava St, Vancouver, BC, Canada;;S;;;49.241388;-123.175755;487207.0;5454305.0;;49.241388,-123.175755
329.0;E 34th Ave;Clarendon St;E 34th Ave & Clarendon St, Vancouver, BC, Canada;D;D;D;D;49.238887;-123.055461;495962.0;5454013.0;;49.238887,-123.055461
336.0;E 35th Ave;Argyle St;E 35th Ave & Argyle St, Vancouver, BC, Canada;S;;;S;49.23844;-123.07132;494808.0;5453965.0;;49.23844,-123.07132
345.0;W 37th Ave;East Blvd;W 37th Ave & East Blvd , Vancouver, BC, Canada;D;S;S;S;49.238276;-123.154871;488726.0;5453955.0;Point grey;49.238276,-123.154871
346.0;W 37th Ave;Maple St;W 37th Ave & Maple St, Vancouver, BC, Canada;S;S;S;S;49.238256;-123.151911;488941.0;5453953.0;Point grey;49.238256,-123.151911
347.0;W 37th Ave;Laburnum St;W 37th Ave & Laburnum St, Vancouver, BC, Canada;S;S;S;S;49.238238;-123.150462;489047.0;5453951.0;Point grey;49.238238,-123.150462
349.0;W 37th Ave;Heather St;W 37th Ave & Heather St, Vancouver, BC, Canada;D;S;S;;49.237427;-123.120748;491210.0;5453856.0;;49.237427,-123.120748
354.0;E 37th Ave;Prince Edward St;E 37th Ave & Prince Edward St, Vancouver, BC, Canada;D;S;;;49.237155;-123.09704;492936.0;5453824.0;;49.237155,-123.09704
355.0;E 37th Ave;Windsor St;E 37th Ave & Windsor St, Vancouver, BC, Canada;S;;;;49.236472;-123.084729;493832.0;5453747.0;;49.236472,-123.084729
356.0;E 37th Ave;Sherbrooke St;E 37th Ave & Sherbrooke St, Vancouver, BC, Canada;;S;;;49.236429;-123.081383;494075.0;5453742.0;;49.236429,-123.081383
358.0;E 37th Ave;Commercial St;E 37th Ave & Commercial St, Vancouver, BC, Canada;D;;;D;49.236687;-123.068608;495005.0;5453769.0;;49.236687,-123.068608
359.0;E 37th Ave;St Margarets St;E 37th Ave & St Margarets St, Vancouver, BC, Canada;S;;;;49.237399;-123.056556;495883.0;5453848.0;George T. Cunningham;49.237399,-123.056556
361.0;E 37th Ave;Nanaimo St;E 37th Ave & Nanaimo St, Vancouver, BC, Canada;;S;;S;49.236888;-123.058766;495722.0;5453791.0;George T. Cunningham;49.236888,-123.058766
362.0;E 37th Ave;Slocan St;E 37th Ave & Slocan St, Vancouver, BC, Canada;;;S;;49.237387;-123.054229;496052.0;5453846.0;;49.237387,-123.054229
368.0;E 38th Ave;Wales St;E 38th Ave & Wales St, Vancouver, BC, Canada;D;S;;;49.235861;-123.051726;496234.0;5453677.0;;49.235861,-123.051726
369.0;E 38th Ave;Earles St;E 38th Ave & Earles St, Vancouver, BC, Canada;S;S;S;;49.235861;-123.048817;496446.0;5453677.0;;49.235861,-123.048817
372.0;W 39th Ave;W Boulevard;W 39th Ave & W Boulevard, Vancouver, BC, Canada;S;D;;;49.236378;-123.151256;488989.0;5453744.0;;49.236378,-123.151256
374.0;E 39th Ave;Ross St;E 39th Ave & Ross St, Vancouver, BC, Canada;;;;S;49.234653;-123.082514;493993.0;5453544.0;;49.234653,-123.082514
385.0;W 40th Ave;Blenheim St;W 40th Ave & Blenheim St, Vancouver, BC, Canada;S;S;;S;49.235685;-123.178721;486989.0;5453671.0;;49.235685,-123.178721
388.0;E 40th Ave;Clarendon St;E 40th Ave & Clarendon St, Vancouver, BC, Canada;;S;;;49.233852;-123.055494;495960.0;5453454.0;;49.233852,-123.055494
394.0;E 41st Ave;Nanaimo St;E 41st Ave & Nanaimo St, Vancouver, BC, Canada;S;;;;49.232861;-123.058844;495716.0;5453344.0;;49.232861,-123.058844
396.0;E 41st Ave;Rhodes St;E 41st Ave & Rhodes St, Vancouver, BC, Canada;;;S;S;49.232789;-123.050163;496348.0;5453335.0;;49.232789,-123.050163
403.0;E 42nd Ave;Gladstone St;E 42nd Ave & Gladstone St, Vancouver, BC, Canada;;S;;S;49.232047;-123.062096;495479.0;5453253.0;;49.232047,-123.062096
411.0;E 43rd Ave;Commercial St;E 43rd Ave & Commercial St, Vancouver, BC, Canada;S;S;S;S;49.230543;-123.068785;494992.0;5453086.0;Tecumseh Elementary;49.230543,-123.068785
415.0;E 43rd Ave;Latta St;E 43rd Ave & Latta St, Vancouver, BC, Canada;;S;;;49.231094;-123.03454;497485.0;5453146.0;;49.231094,-123.03454
419.0;E 44th Ave;Prince Edward St;E 44th Ave & Prince Edward St, Vancouver, BC, Canada;D;D;S;S;49.230193;-123.097357;492911.0;5453050.0;;49.230193,-123.097357
422.0;E 44th Ave;Rupert St;E 44th Ave & Rupert St, Vancouver, BC, Canada;;;S;;49.230196;-123.043131;496859.0;5453046.0;George Weir;49.230196,-123.043131
424.0;E 45th Ave;Main St;E 45th Ave & Main St, Vancouver, BC, Canada;S;;;S;49.229384;-123.101566;492605.0;5452960.0;;49.229384,-123.101566
426.0;E 45th Ave;Sophia St;E 45th Ave & Sophia St, Vancouver, BC, Canada;;S;;;49.22932;-123.099452;492759.0;5452953.0;;49.22932,-123.099452
427.0;E 45th Ave;Inverness St;E 45th Ave & Inverness St, Vancouver, BC, Canada;S;S;D;D;49.229028;-123.079939;494179.0;5452919.0;;49.229028,-123.079939
430.0;E 45th Ave;Prince Albert St;E 45th Ave & Prince Albert St, Vancouver, BC, Canada;;S;;;49.229123;-123.087888;493601.0;5452930.0;;49.229123,-123.087888
434.0;E 45th Ave;Killarney St;E 45th Ave & Killarney St, Vancouver, BC, Canada;;D;D;;49.229297;-123.045469;496689.0;5452947.0;;49.229297,-123.045469
