ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
2299,  Commute within census subdivision (CSD) of residence, 0.68 , 0.75 , 0.64 , 0.72 , 0.69 , 0.62 , 0.66 , 0.68 , 0.54 , 0.72 , 0.60 , 0.73 , 0.65 , 0.59 , 0.70 , 0.74 , 0.73 , 0.75 , 0.62 , 0.56 , 0.77 , 0.65 , 0.68 , 0.44 
2300,  Commute to a different census subdivision (CSD) within census division (CD) of residence, 0.31 , 0.24 , 0.34 , 0.27 , 0.29 , 0.37 , 0.34 , 0.31 , 0.44 , 0.27 , 0.39 , 0.26 , 0.35 , 0.40 , 0.29 , 0.24 , 0.27 , 0.24 , 0.38 , 0.43 , 0.22 , 0.34 , 0.31 , 0.54 
2301,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence, 0.00 , 0.01 , 0.01 , 0.01 , 0.01 , 0.01 , 0.00 , 0.00 , 0.01 , 0.01 , 0.01 , 0.01 , 0.00 , 0.00 , 0.01 , 0.01 , -   , 0.01 , 0.00 , 0.01 , 0.01 , 0.01 , 0.01 , 0.02 
2302,  Commute to a different province or territory, 0.00 , 0.01 , 0.01 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.01 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.01 , 0.00 , 0.00 , 0.00 
2314,"  Car, truck, van - as a driver", 0.63 , 0.31 , 0.64 , 0.39 , 0.42 , 0.57 , 0.50 , 0.66 , 0.64 , 0.44 , 0.52 , 0.40 , 0.59 , 0.50 , 0.49 , 0.66 , 0.46 , 0.29 , 0.53 , 0.61 , 0.25 , 0.53 , 0.46 , 0.65 
2315,"  Car, truck, van - as a passenger", 0.04 , 0.02 , 0.05 , 0.02 , 0.03 , 0.05 , 0.05 , 0.04 , 0.05 , 0.02 , 0.04 , 0.03 , 0.05 , 0.05 , 0.04 , 0.04 , 0.02 , 0.03 , 0.06 , 0.06 , 0.02 , 0.03 , 0.04 , 0.05 
2316,  Public transit, 0.24 , 0.22 , 0.19 , 0.31 , 0.33 , 0.29 , 0.35 , 0.22 , 0.27 , 0.31 , 0.37 , 0.30 , 0.30 , 0.41 , 0.29 , 0.17 , 0.30 , 0.27 , 0.36 , 0.29 , 0.27 , 0.26 , 0.30 , 0.21 
2317,  Walked, 0.04 , 0.42 , 0.06 , 0.20 , 0.08 , 0.04 , 0.04 , 0.04 , 0.02 , 0.12 , 0.05 , 0.15 , 0.05 , 0.03 , 0.08 , 0.08 , 0.14 , 0.25 , 0.03 , 0.02 , 0.38 , 0.07 , 0.14 , 0.07 
2318,  Bicycle, 0.04 , 0.03 , 0.06 , 0.08 , 0.14 , 0.05 , 0.06 , 0.04 , 0.01 , 0.11 , 0.03 , 0.12 , 0.02 , 0.01 , 0.10 , 0.06 , 0.08 , 0.16 , 0.02 , 0.01 , 0.07 , 0.11 , 0.06 , 0.02 
