ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
2299,  Commute within census subdivision (CSD) of residence,3020,22375,4380,12500,9625,8835,14670,2900,6530,15110,5920,13400,2480,13535,6865,1885,2330,2410,9250,6860,19845,2800,187360,436410
2300,  Commute to a different census subdivision (CSD) within census division (CD) of residence,1400,7010,2370,4675,4085,5180,7500,1330,5325,5665,3830,4750,1330,9070,2825,620,855,765,5635,5180,5545,1465,86030,534525
2301,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,20,185,80,125,110,100,105,20,110,135,65,100,15,95,60,30,0,25,55,85,195,40,1760,14900
2302,  Commute to a different province or territory,20,170,40,55,45,50,105,10,35,130,20,45,15,90,35,10,10,10,60,25,140,20,1145,4060
