FID,ID,X_Coord,Y_Coord,POINT_X,POINT_Y,lat,lng
2,St. Paul's Hospital,490710.141058,5458637.90665,490710.141058,5458637.90665,49.28042499828317,-123.1277289949364
1,Vancouver General Hospital,491038.667342,5456494.4344,491038.667342,5456494.4344,49.26114900221851,-123.12316399377178
4,St. Vincent's - Langara,491920,5451297,491920,5451297,49.214409176192255,-123.11094626986157
5,Holy Family Hospital,494689,5451168,494689,5451168,49.2132790470502,-123.07292353668268
0,Mount Saint Joseph Hospital,493008.591701,5456121.15803,493008.591701,5456121.15803,49.25781699655701,-123.09608300410771
3,BC Children's Hospital,490839.049615,5454679.34982,490839.049615,5454679.34982,49.24481899879541,-123.12586600275341
